Sunday_date,Age_group,hosp_unvaccinated_rel,hosp_after_1st_dose_rel,hosp_after_2nd_dose_rel,hosp_after_3rd_dose_rel
2020-12-20,0-19,1.7258109489015696e-05,0.0,,
2020-12-20,20-29,4.075235286923263e-05,0.0,,
2020-12-20,30-39,6.737611282893887e-05,0.0,,
2020-12-20,40-49,8.69535703171099e-05,0.0,,
2020-12-20,50-59,0.00016681171833202402,0.0,,
2020-12-20,60-69,0.0002563729691915024,1.0437105999248528e-05,,
2020-12-20,70-79,0.0005397610656343537,1.2529601182794352e-05,,
2020-12-20,80-89,0.0008832854234596507,0.0,,
2020-12-20,90+,0.0011287350744066272,0.00022411474675033618,,
2020-12-27,0-19,2.7316863613143994e-05,0.0,,
2020-12-27,20-29,5.593426273660218e-05,0.0,,
2020-12-27,30-39,6.766590011936969e-05,1.2218963831867058e-05,,
2020-12-27,40-49,9.223352771176647e-05,8.370232106536313e-06,,
2020-12-27,50-59,0.0002489140201542612,6.633059166887769e-06,,
2020-12-27,60-69,0.00045642231097126816,5.2214349117423927e-05,,
2020-12-27,70-79,0.001124279467068966,9.139827942738978e-05,,
2020-12-27,80-89,0.0014368979254111057,0.0002546635258165149,,
2020-12-27,90+,0.0023357044598128983,0.0002846338388972472,,
2021-01-03,0-19,3.077536116918349e-05,0.0,,
2021-01-03,20-29,7.895782835500152e-05,9.377696087625193e-05,,
2021-01-03,30-39,0.00012211463242700862,6.377144314775843e-06,,
2021-01-03,40-49,0.00014388767187932113,7.460954338959446e-05,,
2021-01-03,50-59,0.00032301382206820374,0.00010569637395377105,,
2021-01-03,60-69,0.0007271031318486825,0.0001627372822873858,,
2021-01-03,70-79,0.0018540361129583526,0.00029741330803980515,,
2021-01-03,80-89,0.0032936558509231288,0.0007742539552973376,,
2021-01-03,90+,0.002863169542040247,0.0016070280694236126,,
2021-01-10,0-19,3.3867678530685726e-05,3.925725277745064e-05,0.0,
2021-01-10,20-29,8.739814425995722e-05,4.937580750018516e-05,0.0,
2021-01-10,30-39,0.00012210860692674834,5.175001293750323e-05,0.0,
2021-01-10,40-49,0.00017715520914040822,7.379501957412895e-05,0.0,
2021-01-10,50-59,0.0003479387813468366,0.0001430688539105037,0.0,
2021-01-10,60-69,0.0006377003675891622,0.0003594460795869638,0.0,
2021-01-10,70-79,0.0013962398860451254,0.000600379716595627,0.0,
2021-01-10,80-89,0.0026712289684217403,0.001172962226640159,4.405674508767292e-05,
2021-01-10,90+,0.0028012914241657455,0.0024113678771350653,0.0,
2021-01-17,0-19,3.748412533989424e-05,2.392516209297318e-05,0.0,
2021-01-17,20-29,0.00010119223360193047,6.524306303132319e-06,0.0,
2021-01-17,30-39,0.00012719684818339442,3.8448229459033414e-05,0.0,
2021-01-17,40-49,0.0002166059361869953,5.595476498998704e-05,9.676420498529184e-06,
2021-01-17,50-59,0.0004190968351034943,0.0001527153640140385,7.813354585657807e-06,
2021-01-17,60-69,0.0007152982604236619,0.0004998983257642513,3.339221493900912e-06,
2021-01-17,70-79,0.0014230569985765168,0.0008997379024371161,7.719874206681348e-05,
2021-01-17,80-89,0.0026201179264030675,0.0021617448369040727,7.889546351084812e-05,
2021-01-17,90+,0.0038079889350821935,0.004602197549329805,0.000311873468478503,
2021-01-24,0-19,3.339946920252166e-05,9.032689302586058e-06,0.0,
2021-01-24,20-29,0.00011161560205948933,5.483538417670154e-06,1.0134587319604346e-05,
2021-01-24,30-39,0.0001270364536604373,3.464231806596887e-05,6.900406433938959e-06,
2021-01-24,40-49,0.0002518018645933534,5.391901364151045e-05,4.481471356675824e-06,
2021-01-24,50-59,0.0004549153934017603,0.00017426262593514189,1.7610408455813723e-05,
2021-01-24,60-69,0.0006699200773189923,0.0007252036148610956,3.653132883783098e-05,
2021-01-24,70-79,0.0013101313005795285,0.0020197769829581316,0.0001076666970341966,
2021-01-24,80-89,0.0027188539977103894,0.0033467202141900937,0.0003184932148455308,
2021-01-24,90+,0.0024939413890932615,0.004871008479162909,0.0006484718619600767,
2021-01-31,0-19,3.2616754622997676e-05,6.571943060685322e-06,4.136846895296405e-05,
2021-01-31,20-29,0.00014547894561296268,4.5937761988798845e-05,8.144449964571642e-06,
2021-01-31,30-39,0.00020584085478794276,3.4383166001925455e-05,5.537435834962262e-06,
2021-01-31,40-49,0.0002982391044775235,0.00010828956630028697,2.1440746709738744e-05,
2021-01-31,50-59,0.0005726656690659388,0.00022728233751955686,2.643810047535705e-06,
2021-01-31,60-69,0.0007804037989013308,0.0006570110377854348,3.386481167180615e-05,
2021-01-31,70-79,0.0015277453019466494,0.001030603189144313,0.00012519365894117463,
2021-01-31,80-89,0.0029113064963743646,0.002966860725481415,0.0002991412885364366,
2021-01-31,90+,0.0028458939433682563,0.0043975373790677225,0.0007181806091235537,
2021-02-07,0-19,2.7780109552369382e-05,5.999592027742114e-06,0.0,
2021-02-07,20-29,0.00015768575804383782,2.1011493286827895e-05,5.435373410153278e-06,
2021-02-07,30-39,0.0002347902728099343,7.216048491845865e-05,4.149670308693975e-06,
2021-02-07,40-49,0.00033992929483801147,0.00011708186666263804,1.1829671655633527e-05,
2021-02-07,50-59,0.0005563885820729021,0.00020427463589937583,2.1357527140077613e-05,
2021-02-07,60-69,0.0008796535869895198,0.0004839463320205594,1.7120063001831845e-05,
2021-02-07,70-79,0.001661628174760997,0.00069617105917454,9.35789654718909e-05,
2021-02-07,80-89,0.0023414893624180816,0.0025416190113102047,0.0002101723413198823,
2021-02-07,90+,0.002339736965531636,0.001381533502187428,0.00015511090429657206,
2021-02-14,0-19,3.0153344852828267e-05,7.411909456114084e-06,0.0,
2021-02-14,20-29,0.0001961810270396248,3.0570756014796244e-05,3.7739266952478714e-06,
2021-02-14,30-39,0.00025269235099595523,3.47879141434279e-05,3.042056430146779e-06,
2021-02-14,40-49,0.00036688059659015904,7.729626749964762e-05,1.8614486538003336e-06,
2021-02-14,50-59,0.0005828656034337627,0.00019455095208372177,1.3521057114876833e-05,
2021-02-14,60-69,0.0004991950966182812,0.000453606169043899,1.8340446369783747e-05,
2021-02-14,70-79,0.0016211076865699668,0.0008900915014063446,7.395519794108729e-05,
2021-02-14,80-89,0.002979905175746701,0.0007642604043632321,0.00012720816787053528,
2021-02-14,90+,0.0019025632649401947,0.0015151515151515152,0.00017588823558972814,
2021-02-21,0-19,2.958789253671851e-05,7.627415984012936e-06,6.080173163331691e-06,
2021-02-21,20-29,0.00022120487968733875,6.272314966708483e-05,0.0,
2021-02-21,30-39,0.00025711019979113276,7.900788668011682e-05,2.2222024693113838e-06,
2021-02-21,40-49,0.0003927016799749448,0.00012604960536777396,1.6320268958032429e-06,
2021-02-21,50-59,0.0007679180453133703,0.00021160059573706183,1.441075330411553e-05,
2021-02-21,60-69,0.0007632838465090803,0.00030287089729488467,3.7415681090114774e-05,
2021-02-21,70-79,0.0016699943146516922,0.0004869226488592098,4.342539517109606e-05,
2021-02-21,80-89,0.0024660586280509334,0.0009854990848937068,9.716232045212866e-05,
2021-02-21,90+,0.0024139571549449492,0.00026896180742334586,2.4423602969910123e-05,
2021-02-28,0-19,3.387842794140096e-05,7.890604657034868e-06,0.0,
2021-02-28,20-29,0.00018868613195577476,2.2834113023150936e-05,0.0,
2021-02-28,30-39,0.00025181886093253035,0.00010222614467725502,1.7666221477885425e-06,
2021-02-28,40-49,0.0003534613130710203,0.00018163945636379177,1.4937144495960996e-06,
2021-02-28,50-59,0.000635307155705731,0.00036448525136465013,1.021320056172603e-05,
2021-02-28,60-69,0.0008420483883483096,0.0005761106132377416,2.777117248154519e-05,
2021-02-28,70-79,0.0019400584400686561,0.0007252883884782758,4.0309577555627215e-05,
2021-02-28,80-89,0.0033759642971190468,0.0012272596015015882,0.00012711797077345988,
2021-02-28,90+,0.0021817586911706674,0.000293513354857646,0.00011933743854121915,
2021-03-07,0-19,2.633786981844499e-05,0.0,0.0,
2021-03-07,20-29,0.00014905051869587227,6.487831499566842e-05,1.5958838962547797e-06,
2021-03-07,30-39,0.00029122382639774246,8.77654906090925e-05,1.4791914739403443e-06,
2021-03-07,40-49,0.0004002728897300892,0.00015214174077813586,8.16327641262097e-06,
2021-03-07,50-59,0.0006597127569527452,0.00028392028392028394,1.4381223874109961e-05,
2021-03-07,60-69,0.0006326707822245137,0.0005638461827613427,2.523888605652501e-05,
2021-03-07,70-79,0.0014056950486964694,0.0008590729821547112,4.189515040358995e-05,
2021-03-07,80-89,0.00221468192798355,0.0008664828672705789,5.723800603600791e-05,
2021-03-07,90+,0.000998806016365941,0.0003098853424233034,2.3469770935035674e-05,
2021-03-14,0-19,1.9339484462242918e-05,0.0,3.618023546097238e-06,
2021-03-14,20-29,0.00016480485499697418,3.9514758762397756e-05,1.345416971627847e-06,
2021-03-14,30-39,0.00014536220187034228,8.518734116110346e-05,1.2899796957195893e-06,
2021-03-14,40-49,0.00028883071472929475,9.94431185361973e-05,6.290922450540768e-06,
2021-03-14,50-59,0.00041062245566448035,0.00021244309559939302,9.073353526585682e-06,
2021-03-14,60-69,0.0004521779528240361,0.0003933233363652007,1.3059113710600247e-05,
2021-03-14,70-79,0.0012885207574175217,0.0009318217114458767,2.9631925892832722e-05,
2021-03-14,80-89,0.0030402571373647326,0.0006939625260235947,7.13568505124951e-05,
2021-03-14,90+,0.001342704153848827,0.000365764447695684,0.00011512514102829776,
2021-03-21,0-19,1.22443643233591e-05,1.5301282247452337e-05,0.0,
2021-03-21,20-29,6.348327943708915e-05,7.266121707538601e-06,1.2495204965094646e-06,
2021-03-21,30-39,0.00011943477691695729,6.545481747456612e-05,1.2169003115264798e-06,
2021-03-21,40-49,0.00013121263585678665,0.00012504220174308829,9.713783372917e-06,
2021-03-21,50-59,0.00023856726057627662,0.00014773230905599054,1.032291554527852e-05,
2021-03-21,60-69,0.0003650195282154129,0.0001726817475392851,1.769521440969569e-05,
2021-03-21,70-79,0.0008401654788994918,0.0004915816640039326,2.255523777731665e-05,
2021-03-21,80-89,0.002018988718923609,0.00011911852293031566,8.054448068946075e-05,
2021-03-21,90+,0.0012711926203234848,0.00040749796251018743,2.2751575546606603e-05,
2021-03-28,0-19,7.1547327055886e-06,0.0,0.0,
2021-03-28,20-29,8.340483696653769e-05,8.592246356887545e-06,1.201368599108104e-06,
2021-03-28,30-39,6.32992854536902e-05,1.1140695847862658e-05,1.1810851574209352e-06,
2021-03-28,40-49,0.00013947130034082963,1.4457970679235462e-05,1.1906959022200524e-06,
2021-03-28,50-59,0.00016968420335941942,2.0775767145201835e-05,7.269396567390941e-06,
2021-03-28,60-69,0.0002385895572192806,0.00015760938091035178,1.1166340184148901e-05,
2021-03-28,70-79,0.0005609614229922451,6.76132521974307e-05,1.120877692067997e-05,
2021-03-28,80-89,0.0010234879980881339,0.00013089005235602096,2.9982759913049995e-05,
2021-03-28,90+,0.00010870801050995737,0.0,2.2566231890598907e-05,
2021-04-04,0-19,7.85529016817222e-06,1.980550989285219e-05,0.0,
2021-04-04,20-29,6.857022931941989e-05,0.0,1.1569374015880123e-06,
2021-04-04,30-39,6.220563300679283e-05,1.3017443374121323e-05,1.1481398985503586e-06,
2021-04-04,40-49,5.486829354817388e-05,1.6308424932320038e-05,0.0,
2021-04-04,50-59,0.000159307529195907,2.2504782266231575e-05,1.4359769669294505e-06,
2021-04-04,60-69,0.00020381048291740102,0.0002308174234180763,1.5836391076510357e-06,
2021-04-04,70-79,0.0007269418665022501,6.98616738857063e-05,1.5611792702155988e-05,
2021-04-04,80-89,0.0012291877651525959,0.00013601741022850925,4.965440533884166e-06,
2021-04-04,90+,0.00011337927472204555,0.00042140750105351877,2.239441035517535e-05,
2021-04-11,0-19,4.104570596928504e-06,0.0,3.01884969751126e-06,
2021-04-11,20-29,4.1683775115498425e-05,1.066848742185333e-05,0.0,
2021-04-11,30-39,3.99489559569175e-05,0.0,0.0,
2021-04-11,40-49,3.570516228257459e-05,0.0,0.0,
2021-04-11,50-59,9.09520782173491e-06,2.291895856252292e-05,1.4280940371361574e-06,
2021-04-11,60-69,0.00010963967316199254,3.3265693090715545e-05,1.4201429926199903e-05,
2021-04-11,70-79,0.0005503999893622849,0.00034938159457759767,2.224318024093813e-06,
2021-04-11,80-89,0.0006441077960422114,0.0001353729524840937,4.949808937375017e-06,
2021-04-11,90+,0.00011683670542261698,0.0,2.2276676319893072e-05,
2021-04-18,0-19,6.167589585504187e-06,0.0,2.971768202080238e-06,
2021-04-18,20-29,3.313079983785663e-06,0.0,0.0,
2021-04-18,30-39,2.059236551352336e-05,1.4098406880022558e-05,0.0,
2021-04-18,40-49,3.6650542102594276e-05,1.7117132537957242e-05,0.0,
2021-04-18,50-59,9.385880880907384e-06,0.0,0.0,
2021-04-18,60-69,8.985749238946335e-05,3.326348002528024e-05,1.5725372101617355e-06,
2021-04-18,70-79,0.00025062864822482356,7.012622720897616e-05,2.2184410127626913e-06,
2021-04-18,80-89,0.0005207242122656499,0.0,2.4657020840114015e-05,
2021-04-18,90+,0.00011917595865356054,0.0,2.2139567835635848e-05,
2021-04-25,0-19,2.7446380539126715e-06,2.1376199739210364e-05,2.923916761937621e-06,
2021-04-25,20-29,2.7149479939546913e-05,1.1538949724796048e-05,0.0,
2021-04-25,30-39,4.217621991565446e-06,1.4770830563802602e-05,1.1108593163327423e-06,
2021-04-25,40-49,3.2052980210805845e-05,0.0,0.0,
2021-04-25,50-59,4.800168507831941e-05,2.351060328208022e-05,1.414193125041542e-06,
2021-04-25,60-69,5.7137724305691825e-05,0.0,1.5673023122411013e-06,
2021-04-25,70-79,0.00022135510047828992,0.0,0.0,
2021-04-25,80-89,7.677651388069418e-05,0.0,4.9117602275127336e-06,
2021-04-25,90+,0.0,0.00047709923664122136,0.0,
2021-05-02,0-19,4.121017622811047e-06,0.0,0.0,
2021-05-02,20-29,3.4538741810448516e-06,1.1894000666064038e-05,1.0978466835149538e-06,
2021-05-02,30-39,4.297149007241082e-06,0.0,1.10344949346151e-06,
2021-05-02,40-49,5.4214916396425214e-06,0.0,0.0,
2021-05-02,50-59,9.769058486238607e-06,0.0,7.0498793060662805e-06,
2021-05-02,60-69,1.1569004551950624e-05,3.433358511295749e-05,1.563858602160627e-06,
2021-05-02,70-79,3.769066576568074e-05,7.380618495829951e-05,2.208109946210442e-06,
2021-05-02,80-89,7.852488529498498e-05,0.0,0.0,
2021-05-02,90+,0.0001220709963277811,0.0,0.0,
2021-05-09,0-19,3.4366279076629975e-07,0.0,2.862589956889395e-06,
2021-05-09,20-29,3.4966019819039146e-06,0.0,0.0,
2021-05-09,30-39,4.353079441938157e-06,0.0,0.0,
2021-05-09,40-49,5.478518989852651e-06,1.8237525532535744e-05,0.0,
2021-05-09,50-59,9.891195862227056e-06,0.0,0.0,
2021-05-09,60-69,1.1665499678450374e-05,3.4940600978336826e-05,1.5608781500472165e-06,
2021-05-09,70-79,3.8283713551546035e-05,0.0,2.20459039812698e-06,
2021-05-09,80-89,7.981599898090916e-05,0.0,4.888230607167124e-06,
2021-05-09,90+,0.0,0.0005327650506126798,0.0,
2021-05-16,0-19,2.406785100004774e-06,0.0,0.0,
2021-05-16,20-29,3.525099392237171e-06,0.0,0.0,
2021-05-16,30-39,4.387419055015574e-06,0.0,0.0,
2021-05-16,40-49,5.512555108704696e-06,0.0,1.1338395548999443e-06,
2021-05-16,50-59,9.967902363475733e-06,0.0,1.4031739795417234e-06,
2021-05-16,60-69,1.1733527778319335e-05,0.0,1.5581833452014964e-06,
2021-05-16,70-79,3.8670107166350474e-05,0.0,2.201658729686946e-06,
2021-05-16,80-89,0.00040313424174531336,0.0,4.880429477794046e-06,
2021-05-16,90+,0.0,0.0,2.174669450243563e-05,
2021-05-23,0-19,3.440210192536835e-07,0.0,0.0,
2021-05-23,20-29,3.5586182509025784e-06,0.0,1.079847136839309e-06,
2021-05-23,30-39,4.430573148965246e-06,1.65694591728526e-05,1.088199671581339e-06,
2021-05-23,40-49,5.555553018919978e-06,0.0,0.0,
2021-05-23,50-59,1.0068870070329932e-05,2.475860361475613e-05,0.0,
2021-05-23,60-69,1.181253129685859e-05,0.0,1.555967368252353e-06,
2021-05-23,70-79,3.9119394263379413e-05,7.905138339920949e-05,2.1990394595640622e-06,
2021-05-23,80-89,0.0,0.00016909029421711193,4.87284315779728e-06,
2021-05-23,90+,0.0001248914364117656,0.0005704506560182544,2.1698092737648362e-05,
2021-05-30,0-19,3.442501799448934e-07,0.0,0.0,
2021-05-30,20-29,3.5881912616454283e-06,0.0,0.0,
2021-05-30,30-39,2.23276650772315e-05,0.0,0.0,
2021-05-30,40-49,5.591149990942258e-06,0.0,1.1292633927815225e-06,
2021-05-30,50-59,1.0145176466701723e-05,0.0,1.3986737775241515e-06,
2021-05-30,60-69,1.1870583053263647e-05,0.0,1.5545982684884485e-06,
2021-05-30,70-79,3.948859426661677e-05,7.956715467854869e-05,2.197488270906354e-06,
2021-05-30,80-89,0.0,0.00017094017094017094,4.869046981434324e-06,
2021-05-30,90+,0.0,0.0,2.1669881032353134e-05,
2021-06-06,0-19,3.4602361904810107e-07,0.0,0.0,
2021-06-06,20-29,3.6129132737040897e-06,1.288277958852402e-05,0.0,
2021-06-06,30-39,4.496050453288473e-06,0.0,1.0840778237788134e-06,
2021-06-06,40-49,0.0,0.0,1.128287406394456e-06,
2021-06-06,50-59,0.0,2.4767801857585138e-05,0.0,
2021-06-06,60-69,1.1920391757398688e-05,3.635041802980734e-05,1.5537407863171372e-06,
2021-06-06,70-79,0.0,7.978299026647519e-05,0.0,
2021-06-06,80-89,8.285130144157448e-05,0.00017152658662092623,4.866464221755041e-06,
2021-06-06,90+,0.0001266311018340359,0.0,2.1641742593113596e-05,
2021-06-13,0-19,3.472266672606208e-07,0.0,0.0,
2021-06-13,20-29,0.0,0.0,1.0732953386783442e-06,
2021-06-13,30-39,4.527623264790677e-06,0.0,0.0,
2021-06-13,40-49,5.653260153968516e-06,1.8924340486734036e-05,1.1271314054877773e-06,
2021-06-13,50-59,0.0,0.0,1.3965037133033737e-06,
2021-06-13,60-69,1.197563766861731e-05,0.0,1.5527926198872363e-06,
2021-06-13,70-79,4.007089663006081e-05,8.021175904387583e-05,2.1952258228803997e-06,
2021-06-13,80-89,8.341802739652073e-05,0.0,4.864002490369275e-06,
2021-06-13,90+,0.0,0.0,2.161601314253599e-05,
2021-06-20,0-19,1.7591621633016796e-06,0.0,0.0,
2021-06-20,20-29,3.678066970513803e-06,0.0,0.0,
2021-06-20,30-39,4.579143871024007e-06,0.0,0.0,
2021-06-20,40-49,5.707662145649325e-06,1.8674136321195144e-05,1.125890297752948e-06,
2021-06-20,50-59,1.0393172689659624e-05,2.4437927663734115e-05,1.3953287185161516e-06,
2021-06-20,60-69,1.2054167518994043e-05,3.6138918000795055e-05,1.5518841425374547e-06,
2021-06-20,70-79,4.051245336004398e-05,0.0,2.194045798511998e-06,
2021-06-20,80-89,8.443224405620832e-05,0.00017094017094017094,4.8615905179538535e-06,
2021-06-20,90+,0.00012858504575686451,0.0,0.0,
2021-06-27,0-19,2.166860437553893e-06,0.0,0.0,
2021-06-27,20-29,2.6254796963240223e-05,0.0,1.069535874907084e-06,
2021-06-27,30-39,4.673390022755388e-06,1.5591867282025697e-05,1.0788743456627094e-06,
2021-06-27,40-49,5.81141666352999e-06,0.0,1.1245735054980398e-06,
2021-06-27,50-59,1.0616724468990044e-05,2.3706794367265658e-05,1.3938428386445714e-06,
2021-06-27,60-69,1.2215999337966558e-05,0.0,1.5507241881958875e-06,
2021-06-27,70-79,4.134321115727061e-05,7.869058860560277e-05,1.9734202222948247e-05,
2021-06-27,80-89,8.634969783045677e-05,0.0,4.858378273332362e-05,
2021-06-27,90+,0.0,0.0,2.156473734149918e-05,
2021-07-04,0-19,3.718044156575798e-07,0.0,2.607228802578028e-06,
2021-07-04,20-29,3.851072190937712e-06,1.134687393623057e-05,1.067598181666777e-06,
2021-07-04,30-39,4.793991795981052e-06,1.4718003061344637e-05,1.0770442029711341e-06,
2021-07-04,40-49,5.95532025077815e-06,0.0,1.1230617358266801e-06,
2021-07-04,50-59,1.0912502362756708e-05,2.272314124704599e-05,1.3924318543850465e-06,
2021-07-04,60-69,1.2435976427932289e-05,3.4251267296889986e-05,2.6340254105980786e-05,
2021-07-04,70-79,4.2662538291428175e-05,7.584376185058778e-05,3.50621915622836e-05,
2021-07-04,80-89,8.916775460225866e-05,0.0001608234158893535,5.340972542545702e-05,
2021-07-04,90+,0.000131372310662182,0.0005546311702717693,2.1536871123363198e-05,
2021-07-11,0-19,2.9824492574156788e-06,4.819393238391286e-06,2.4171637966875187e-06,
2021-07-11,20-29,0.0,1.125112511251125e-05,1.0656345640702125e-06,
2021-07-11,30-39,4.830137751196004e-06,1.4684503443516058e-05,5.3770783752189815e-06,
2021-07-11,40-49,5.395454366804923e-05,0.0,6.730947212546485e-06,
2021-07-11,50-59,6.597030614828009e-05,0.0,1.3913082192924362e-05,
